municipio_ano,pib
13036012011,"4666,43"
13037002011,"3980,01"
13038092011,"4715,55"
13039082011,"4040,95"
13039572011,"5043,9"
13040052011,"7311,77"
13040622011,"5511,35"
13041042011,"7894,38"
13042032011,"8816,19"
13042372011,"4452,08"
13042602011,"6239,94"
13043022011,"15430,7"
13044012011,"4678,12"
14000272011,"9709,71"
14000502011,"9071,24"
14001002011,"19054,37"
14001592011,"11234,21"
14001752011,"10376,76"
14002092011,"11001,58"
14002332011,"10037,76"
14002822011,"9161,59"
14003082011,"12448,68"
14004072011,"8993,77"
14004562011,"10240,78"
14004722011,"11395,65"
14005062011,"11868,17"
14006052011,"9862,76"
14007042011,"7687,53"
15001072011,"4971,7"
15001312011,"9319,84"
15002062011,"9383,67"
15003052011,"5382,63"
15003472011,"8277,11"
15004042011,"6805,39"
15005032011,"15715,71"
15006022011,"12787,71"
15007012011,"4485,09"
15008002011,"9689,26"
15008592011,"6404,06"
15009092011,"4128,94"
15009582011,"6870,69"
15010062011,"4184,8"
15011052011,"3598,11"
15012042011,"5132,91"
15012532011,"12347,38"
15013032011,"23964,6"
15014022011,"15282,45"
15014512011,"9795,94"
15015012011,"12627,51"
15015762011,"6088,48"
15016002011,"3943,83"
15017092011,"5343,29"
15017252011,"8334,78"
15017582011,"5464,64"
15017822011,"11389,61"
15018082011,"4536,25"
15019072011,"9144,44"
15019562011,"3432,01"
15020042011,"4845,48"
15021032011,"4528,8"
15021522011,"105533,92"
15022022011,"10461,46"
15023012011,"4901,47"
15024002011,"10901,51"
15025092011,"4621,54"
15026082011,"3941,65"
15027072011,"7890,85"
15027562011,"5545,02"
15027642011,"12567,87"
15027722011,"8112,06"
15028062011,"3749,6"
15028552011,"5028,5"
15029052011,"4533,66"
15029392011,"7706,14"
15029542011,"6701,35"
15030022011,"3806,21"
15030442011,"20543,7"
15030772011,"4666,23"
15030932011,"6078,04"
15031012011,"4099,89"
15032002011,"5702,86"
15033092011,"4672,77"
15034082011,"5941,73"
15034572011,"9356,56"
15035072011,"3673,1"
15036062011,"9521,84"
15037052011,"5296,1"
15037542011,"7964,24"
15038042011,"5774,77"
15039032011,"11761,3"
15040002011,"8704,01"
15040592011,"6760,57"
15041092011,"4148,09"
15042082011,"16015,38"
15043072011,"4660,42"
15044062011,"4549,01"
15044222011,"7481,73"
15044552011,"9455,55"
15045052011,"3370,46"
15046042011,"5112,48"
15047032011,"6752,08"
15048022011,"6670,82"
15049012011,"5034,05"
15049502011,"6044,55"
15049762011,"5407,73"
15050072011,"4735,87"
15050312011,"11807,16"
15050642011,"6452,46"
15051062011,"6513,27"
15052052011,"6019,54"
15053042011,"25518,59"
15054032011,"6181,02"
15054372011,"17267,84"
15054862011,"6475,09"
15054942011,"5380,5"
15055022011,"16947,4"
15055362011,"131149,69"
15055512011,"8521,02"
15056012011,"4165,67"
15056352011,"8265,91"
15056502011,"4999,5"
15057002011,"4969,11"
15058092011,"5452,12"
15059082011,"4599,96"
15060052011,"5438,93"
15061042011,"3813,1"
15061122011,"4059,1"
15061382011,"11186,11"
15061612011,"11920,86"
15061872011,"8201,24"
15061952011,"4173,88"
15062032011,"5434,32"
15063022011,"4387,38"
15063512011,"4898,74"
15064012011,"4864,18"
15065002011,"7141,01"
15065592011,"4310,15"
15065832011,"8200,34"
15066092011,"7717,7"
15067082011,"6488,66"
15068072011,"8759,23"
15069062011,"4498,43"
15070032011,"6018,3"
15071022011,"4271,58"
15071512011,"5950,61"
15072012011,"5878,21"
15073002011,"6080,37"
15074092011,"5534,02"
15074582011,"7747,25"
15074662011,"4841,08"
15074742011,"4109,63"
15075082011,"5495,79"
15076072011,"7008,05"
15077062011,"5175,88"
15077552011,"12237,09"
15078052011,"5280,65"
15079042011,"4207,75"
15079532011,"5971,95"
15079612011,"3840,81"
15079792011,"4465,28"
15080012011,"6939,39"
15080352011,"4172,32"
15080502011,"7811,53"
15080842011,"11533,52"
15081002011,"28300,68"
15081262011,"17785,42"
15081592011,"7260,09"
15082092011,"4492,68"
15083082011,"4935,83"
15083572011,"8222,55"
15084072011,"14281,23"
16000552011,"9575,08"
16001052011,"10399,94"
16001542011,"22000,32"
16002042011,"12653,99"
16002122011,"9293,27"
16002382011,"15393,71"
16002532011,"8413,29"
16002792011,"9699,28"
16003032011,"15224,98"
16004022011,"9974,29"
16005012011,"10365,9"
16005352011,"12734,82"
16005502011,"10538,08"
16006002011,"12390,41"
16007092011,"8693,94"
16008082011,"8674,67"
17002512011,"7773,05"
17003012011,"12298,55"
17003502011,"9227,67"
17004002011,"9719,85"
17007072011,"25589,52"
17010022011,"7074,24"
